no,question,option1,option2,option3,option4,correct_answer,explanation
1,Why is AWS more economical than traditional data centers for applications with varying compute workloads?,Amazon EC2 costs are billed on a monthly basis.,Users retain full administrative access to their Amazon EC2 instances.,Amazon EC2 instances can be launched on demand when needed.,Users can permanently run enough instances to handle peak workloads.,c,The ability to launch instances on demand when needed allows users to launch and terminate instances in response to a varying workload. This is a more economical practice than purchasing enough on-premises servers to handle the peak load.
2,Which AWS service would simplify the migration of a database to AWS?,AWS Storage Gateway,AWS Database Migration Service (AWS DMS),Amazon EC2,Amazon AppStream 2.0,b,"AWS DMS helps users migrate databases to AWS quickly and securely. The source database remains fully operational during the migration, minimizing downtime to applications that rely on the database. AWS DMS can migrate data to and from most widely used commercial and open-source databases."
3,"Which AWS offering enables users to find, buy, and immediately start using software solutions in their AWS environment?",AWS Config,AWS OpsWorks,AWS SDK,AWS Marketplace,d,"AWS Marketplace is a digital catalog with thousands of software listings from independent software vendors that makes it easy to find, test, buy, and deploy software that runs on AWS."
4,Which AWS networking service enables a company to create a virtual network within AWS?,AWS Config,Amazon Route 53,AWS Direct Connect,Amazon Virtual Private Cloud (Amazon VPC),d,Amazon VPC lets users provision a logically isolated section of the AWS Cloud where users can launch AWS resources in a virtual network that they define.
5,Which of the following is an AWS responsibility under the AWS shared responsibility model?,Configuring third-party applications,Maintaining physical hardware,Securing application access and data,Managing guest operating systems,b,Maintaining physical hardware is an AWS responsibility under the AWS shared responsibility model.
6,Which component of the AWS global infrastructure does Amazon CloudFront use to ensure low-latency delivery?,AWS Regions,Edge locations,Availability Zones,Virtual Private Cloud (VPC),b,"To deliver content to users with lower latency, Amazon CloudFront uses a global network of points of presence (edge locations and regional edge caches) worldwide."
7,How would a system administrator add an additional layer of login security to a user's AWS Management Console?,Use Amazon Cloud Directory,Audit AWS Identity and Access Management (IAM) roles,Enable multi-factor authentication,Enable AWS CloudTrail,c,"Multi-factor authentication (MFA) is a simple best practice that adds an extra layer of protection on top of a username and password. With MFA enabled, when a user signs in to an AWS Management Console, they will be prompted for their username and password (the first factor—what they know), as well as for an authentication code from their MFA device (the second factor—what they have). Taken together, these multiple factors provide increased security for AWS account settings and resources."
8,Which service can identify the user that made the API call when an Amazon EC2 instance is terminated?,AWS Trusted Advisor,AWS CloudTrail,AWS X-Ray,AWS Identity and Access Management (AWS IAM),b,"AWS CloudTrail helps users enable governance, compliance, and operational and risk auditing of their AWS accounts. Actions taken by a user, role, or an AWS service are recorded as events in CloudTrail. Events include actions taken in the AWS Management Console, AWS Command Line Interface (CLI), and AWS SDKs and APIs."
9,Which service would be used to send alerts based on Amazon CloudWatch alarms?,Amazon Simple Notification Service (Amazon SNS),AWS CloudTrail,AWS Trusted Advisor,Amazon Route 53,a,"Amazon SNS and Amazon CloudWatch are integrated so users can collect, view, and analyze metrics for every active SNS. Once users have configured CloudWatch for Amazon SNS, they can gain better insight into the performance of their Amazon SNS topics, push notifications, and SMS deliveries."
10,Where can a user find information about prohibited actions on the AWS infrastructure?,AWS Trusted Advisor,AWS Identity and Access Management (IAM),AWS Billing Console,AWS Acceptable Use Policy,d,The AWS Acceptable Use Policy provides information regarding prohibited actions on the AWS infrastructure.
11,Which AWS service would be most appropriate for hosting a highly available  fault-tolerant website?,Amazon RDS,Amazon S3,AWS Elastic Beanstalk,Amazon EC2,c,"AWS Elastic Beanstalk is an easy-to-use service for deploying and scaling web applications and services. It supports several programming languages and allows users to simply upload their code and the service automatically handles the deployment, from capacity provisioning, load balancing, and auto-scaling to application health monitoring."
12,What AWS service enables users to distribute traffic across multiple instances?,Amazon RDS,Elastic Load Balancing (ELB),Amazon Route 53,AWS Config,b,"Elastic Load Balancing automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, and IP addresses, to ensure that no single point of failure exists. It can handle the varying load of your application traffic in a single Availability Zone or across multiple Availability Zones."
13,Which AWS service provides a fully managed  petabyte-scale data warehousing solution?,Amazon RDS,Amazon Redshift,Amazon DynamoDB,Amazon S3,b,"Amazon Redshift is a fully managed, petabyte-scale data warehouse service in the cloud. It allows users to start with just a few hundred gigabytes of data and scale to a petabyte or more."
14,What is an advantage of using Amazon S3 for storing data compared to traditional on-premises storage solutions?,Amazon S3 provides unlimited storage capacity.,Amazon S3 offers higher durability.,Amazon S3 does not require internet connectivity.,Amazon S3 is free to use for all AWS customers.,b,Amazon S3 provides higher durability compared to traditional on-premises storage solutions. Amazon S3 is designed to provide 99.999999999% (11 9's) durability of objects over a given year.
15,Which AWS service would be suitable for ingesting and processing real-time data streams?,Amazon RDS,AWS Lambda,Amazon Kinesis,AWS Config,c,"Amazon Kinesis makes it easy to collect, process, and analyze real-time, streaming data so users can get timely insights and react quickly to new information. Amazon Kinesis offers key capabilities to cost-effectively process streaming data at any scale, along with the flexibility to choose the tools that best suit the requirements of the application."
16,Which AWS service can be used to deploy and manage containers?,Amazon EKS,AWS Elastic Beanstalk,AWS OpsWorks,Amazon EC2 Container Service (ECS),a,Amazon EKS is a managed service that makes it easy for users to run Kubernetes on AWS without needing to install and operate the Kubernetes clusters themselves.
17,What AWS service provides a way to audit and monitor AWS resources in near real-time?,AWS CloudTrail,AWS Config,AWS Trusted Advisor,Amazon Inspector,a,"AWS CloudTrail provides a way to capture, retain, and retrieve AWS API call activities related to actions across AWS services. CloudTrail provides event history of user activity, including actions taken through the AWS Management Console, AWS SDKs, command-line tools, and other AWS services."
18,Which AWS service would be used to ensure that an application can seamlessly handle sudden increases in traffic?,Amazon CloudFront,Amazon Route 53,Amazon S3,AWS Auto Scaling,d,"AWS Auto Scaling monitors your applications and automatically adjusts capacity to maintain steady, predictable performance at the lowest possible cost. Using AWS Auto Scaling, it’s easy to setup application scaling for multiple resources across multiple services in minutes."
19,What is a benefit of using AWS Lambda for serverless computing?,AWS Lambda requires no administration.,AWS Lambda provides access to physical servers.,AWS Lambda can run on any operating system.,AWS Lambda offers unlimited execution time.,a,"AWS Lambda lets users run code without provisioning or managing servers. Users pay only for the compute time they consume, and there is no charge when their code is not running."
20,Which AWS service would be used to automate the deployment of infrastructure and applications?,Amazon RDS,AWS CloudFormation,AWS OpsWorks,Amazon Inspector,b,"AWS CloudFormation allows users to model their entire infrastructure and application resources with either a text file or programming languages. This means users can provision AWS infrastructure and deploy applications in a repeatable way, without having to perform manual actions."
